ID,Name,Lat,Lng,Seq,Police,Office,GroupID,FlashCfg,OpIntervention,ArrowConfigs,Controller,DiagramOrder,Weekly_plan
"krd-39161","수락리버시티3;4단지앞(연등)","37.687384360","127.052945600","3916","노원","노원","1636","0|||","0|","","","-1","1;1;1;1;1;2;3"
"krd-39180","서라벌고교","37.644453130","127.076442000","3918","노원","노원","304","0|||","0|","","","-1","1;1;1;1;1;2;3"
"krd-39300","중랑역","37.593947170","127.075964800","3930","중랑","중랑","1726","0|||","0|","","","-1","1;1;1;1;1;2;3"
"krd-39400","면목신협","37.585470780","127.088408600","3940","중랑","중랑","709","0|||","0|","","","-1","1;1;1;1;1;2;3"
"krd-39500","연신초교삼거리","37.625100360","126.928807200","3950","은평","은평","113","0|||","0|","","","-1","1;1;1;1;1;2;3"
"krd-39501","연신초교삼거리(연등)1","37.626056870","126.929013600","3950","은평","은평","113","0|||","0|","","","-1","1;1;1;1;1;2;3"
"krd-39502","연신초교삼거리(연등)2","37.626628530","126.929113800","3950","은평","은평","113","0|||","0|","","","-1","1;1;1;1;1;2;3"
"krd-39503","연신초교삼거리(연등)3","37.624313260","126.929492200","3950","은평","은평","113","0|||","0|","","","-1","1;1;1;1;1;2;3"
"krd-39510","구의역3번출구","37.537448540","127.087418800","3951","광진","광진","1876","0|||","0|","","","-1","1;1;1;1;1;2;3"
"krd-39520","은평어울림1001동앞","37.639795280","126.918627800","3952","은평","은평","1772","0|||","0|","","","-1","1;1;1;1;1;2;3"
"krd-39530","은평스카이뷰자이103동","37.634576950","126.918978800","3953","은평","은평","575","0|||","0|","","","-1","1;1;1;1;1;2;3"
"krd-39531","은평스카이뷰자이103동(연등)","37.634650720","126.920621900","3953","은평","은평","575","0|||","0|","","","-1","1;1;1;1;1;2;3"
"krd-39540","북가좌초교사거리","37.577868240","126.909726200","3954","서대문","서대문","1399","0|||","0|","","","-1","1;1;1;1;1;2;3"
"krd-39541","북가좌초교사거리(연등)","37.578534730","126.908766300","3954","서대문","서대문","1399","0|||","0|","","","-1","1;1;1;1;1;2;3"
"krd-39550","독립문역","37.572222400","126.960228700","3955","서대문","서대문","1794","0|||","0|","","","-1","1;1;1;1;1;2;3"
"krd-39570","화림빌딩","37.597429150","126.915293100","3957","서부","서부","260","0|||","0|","","","-1","1;1;1;1;1;2;3"
"krd-39580","연희성모의원","37.574606890","126.927139800","3958","서대문","서대문","97","0|||","0|","","","-1","1;1;1;1;1;2;3"
"krd-39581","연희성모의원(연등)","37.575096860","126.926664800","3958","서대문","서대문","97","0|||","0|","","","-1","1;1;1;1;1;2;3"
"krd-39590","예일여고","37.609143490","126.915999700","3959","은평","은평","260","0|||","0|","","","-1","1;1;1;1;1;2;3"
"krd-39600","장안초교","37.549798700","127.070889000","3960","광진","광진","235","0|||","0|","","","-1","1;1;1;1;1;2;3"
"krd-39610","성서초교입구","37.558913400","126.912588900","3961","마포","마포","286","0|||","0|","","","-1","1;1;1;1;1;2;3"
"krd-39611","성서초교입구(연등)1","37.558583390","126.910733700","3961","마포","마포","286","0|||","0|","","","-1","1;1;1;1;1;2;3"
"krd-39612","성서초교입구(연등)2","37.558811000","126.911891500","3961","마포","마포","286","0|||","0|","","","-1","1;1;1;1;1;2;3"
"krd-39620","서대문우체국","37.562200570","126.931752900","3962","서대문","서대문","561","0|||","0|","","","-1","1;1;1;1;1;2;3"
"krd-39621","서대문우체국(연등)","37.563185540","126.930693100","3962","서대문","서대문","561","0|||","0|","","","-1","1;1;1;1;1;2;3"
"krd-39640","화계사","37.634195500","127.017476500","3964","강북","강북","312","0|||","0|","","","-1","1;1;1;1;1;2;3"
"krd-39660","세종문화회관뒤","37.572351920","126.974743600","3966","종로","종로","1611","0|||","0|","","","-1","1;1;1;1;1;2;3"
"krd-39670","무교동사거리","37.568982700","126.979272000","3967","남대문","남대문","528","0|||","0|","","","-1","1;1;1;1;1;2;3"
"krd-39671","무교동사거리(연등)","37.569272420","126.979302500","3967","남대문","남대문","528","0|||","0|","","","-1","1;1;1;1;1;2;3"
"krd-39780","금호벽산아파트","37.552419200","127.025240900","3978","성동","성동","267","0|||","0|","","","-1","1;1;1;1;1;2;3"
"krd-40030","영도교","37.571206250","127.018847300","4003","혜화","혜화","522","0|||","0|","","","-1","1;1;1;1;1;2;3"
"krd-40031","영도교(연등)","37.570914330","127.019122900","4003","혜화","혜화","522","0|||","0|","","","-1","1;1;1;1;1;2;3"
"krd-40040","명물거리","37.559115670","126.940376000","4004","서대문","서대문","185","0|||","0|","","","-1","1;1;1;1;1;2;3"
"krd-40050","중동초교사거리","37.565909090","126.911228600","4005","마포","마포","63","0|||","0|","","","-1","1;1;1;1;1;2;3"
"krd-40130","신상계초교","37.667417890","127.076560800","4013","노원","노원","1686","0|||","0|","","","-1","1;1;1;1;1;2;3"
"krd-40230","당고개노인복지관","37.670414770","127.081395900","4023","노원","노원","1994","0|||","0|","","","-1","1;1;1;1;1;2;3"
"krd-40480","창천동삼거리","37.556902520","126.931734100","4048","마포","마포","45","0|||","0|","","","-1","1;1;1;1;1;2;3"
"krd-40500","중계건영아파트","37.661576140","127.075725900","4050","노원","노원","1686","0|||","0|","","","-1","1;1;1;1;1;2;3"
"krd-40510","불암동아아파트","37.666501630","127.078154400","4051","노원","노원","1686","0|||","0|","","","-1","1;1;1;1;1;2;3"
"krd-40511","불암동아아파트(연등)1","37.666731920","127.078414800","4051","노원","노원","1686","0|||","0|","","","-1","1;1;1;1;1;2;3"
"krd-40512","불암동아아파트(연등)2","37.665787040","127.077624100","4051","노원","노원","1686","0|||","0|","","","-1","1;1;1;1;1;2;3"
"krd-40520","상계3;4동주민센터","37.672116570","127.082867800","4052","노원","노원","1994","0|||","0|","","","-1","1;1;1;1;1;2;3"
"krd-40521","상계3;4동주민센터(연등)1","37.672976960","127.083578000","4052","노원","노원","1994","0|||","0|","","","-1","1;1;1;1;1;2;3"
"krd-40522","상계3;4동주민센터(연등)2","37.671303140","127.082105100","4052","노원","노원","1994","0|||","0|","","","-1","1;1;1;1;1;2;3"
"krd-40530","증산역","37.584524990","126.910305100","4053","서부","서부","82","0|||","0|","","","-1","1;1;1;1;1;2;3"
"krd-40540","싱싱마트앞","37.667417280","127.078906600","4054","노원","노원","1686","0|||","0|","","","-1","1;1;1;1;1;2;3"
"krd-40541","싱싱마트앞(연등)","37.667797200","127.079148500","4054","노원","노원","1686","0|||","0|","","","-1","1;1;1;1;1;2;3"
"krd-40550","덕릉터널입구","37.674320140","127.085557000","4055","노원","노원","1994","0|||","0|","","","-1","1;1;1;1;1;2;3"
"krd-40560","옛집영양탕","37.673955770","127.084802600","4056","노원","노원","1994","0|||","0|","","","-1","1;1;1;1;1;2;3"
"krd-40570","온곡초교","37.667839580","127.066722700","4057","노원","노원","1647","0|||","0|","","","-1","1;1;1;1;1;2;3"
"krd-40571","온곡초교(연등)1","37.667505040","127.066678200","4057","노원","노원","1647","0|||","0|","","","-1","1;1;1;1;1;2;3"
"krd-40572","온곡초교(연등)2","37.667093460","127.066632800","4057","노원","노원","1647","0|||","0|","","","-1","1;1;1;1;1;2;3"
"krd-40580","온곡중","37.659855020","127.065342300","4058","노원","노원","1648","0|||","0|","","","-1","1;1;1;1;1;2;3"
"krd-40590","상계보람110동","37.661475900","127.065701500","4059","노원","노원","1648","0|||","0|","","","-1","1;1;1;1;1;2;3"
"krd-40600","상계보람204동","37.665748350","127.066423700","4060","노원","노원","1647","0|||","0|","","","-1","1;1;1;1;1;2;3"
"krd-40610","상계8단지","37.660865550","127.061725100","4061","노원","노원","1109","0|||","0|","","","-1","1;1;1;1;1;2;3"
"krd-40620","상계초교","37.658946220","127.064905000","4062","노원","노원","309","0|||","0|","","","-1","1;1;1;1;1;2;3"
"krd-40621","상계초교(연등)","37.658435180","127.065401500","4062","노원","노원","309","0|||","0|","","","-1","1;1;1;1;1;2;3"
"krd-40630","혜성여고","37.641577030","127.072520900","4063","노원","노원","309","0|||","0|","","","-1","1;1;1;1;1;2;3"
"krd-40640","상계6;7동주민센터","37.655756130","127.066983300","4064","노원","노원","309","0|||","0|","","","-1","1;1;1;1;1;2;3"
"krd-40650","중계1공단","37.645308290","127.070747500","4065","노원","노원","309","0|||","0|","","","-1","1;1;1;1;1;2;3"
"krd-40651","중계1공단(연등)","37.646597750","127.070162200","4065","노원","노원","309","0|||","0|","","","-1","1;1;1;1;1;2;3"
"krd-40660","중계목련3단지","37.647686750","127.067884300","4066","노원","노원","309","0|||","0|","","","-1","1;1;1;1;1;2;3"
"krd-40670","을지중","37.650269340","127.071204900","4067","노원","노원","309","0|||","0|","","","-1","1;1;1;1;1;2;3"
"krd-40680","상계초교입구","37.657105020","127.066605000","4068","노원","노원","309","0|||","0|","","","-1","1;1;1;1;1;2;3"
"krd-40681","상계초교입구(연등)","37.656836750","127.065590700","4068","노원","노원","309","0|||","0|","","","-1","1;1;1;1;1;2;3"
"krd-40690","상계주공4단지","37.652872070","127.067840900","4069","노원","노원","309","0|||","0|","","","-1","1;1;1;1;1;2;3"
"krd-40691","상계주공4단지(연등)","37.654213030","127.067470200","4069","노원","노원","309","0|||","0|","","","-1","1;1;1;1;1;2;3"
"krd-40700","은평롯데몰","37.639093960","126.918700300","4070","은평","은평","575","0|||","0|","","","-1","1;1;1;1;1;2;3"
"krd-40701","은평롯데몰(연등)","37.639116110","126.919481200","4070","은평","은평","575","0|||","0|","","","-1","1;1;1;1;1;2;3"
